horse_id,horse_name,father,mother,grandfather,hair_color,farm
,スマートアルタイル,ヘニーヒューズ,スマートアルティラ,ブライアンズタイム,栗,
,ガンケンB,ヘニーヒューズ,ダイヤモンドムーン,マンハッタンカフェ,黒鹿,
,サンライズラポールB,Constitution,カラズマッチポイント,Curlin,栗,
,バトルクライ,イスラボニータ,ディアコメット,キングカメハメハ,栗,
,ボイラーハウス,アジアエクスプレス,パリーナチャン,メイショウオウドウ,鹿,
,コパノマーキュリー,サウスヴィグラス,レッドマーキュリー,マンハッタンカフェ,鹿,
,エイシンギアアップ,エイシンフラッシュ,エーシンパナギア,エイシンサンディ,黒鹿,
,ケイアイドリー,エスポワールシチー,アルヴェナ,Seeking the Gold,鹿,
,ダノングリスターB,ロードカナロア,ファイブスター,クロフネ,鹿,
,デンコウリジエール,メイショウボーラー,デンコウデア,スペシャルウィーク,鹿,
,スマートダンディーB,エンパイアメーカー,スマートオーシャン,Mr. Greeley,鹿,
,キョウヘイ,リーチザクラウン,ショウナンアネーロ,ダンスインザダーク,鹿,
,メイショウミモザ,ハーツクライ,メイショウベルーガ,フレンチデピュティ,芦,
,リプレーザB,リオンディーズ,サウスエンピリカル,マンハッタンカフェ,鹿,
,ベルウッドブラボーB,シルバーステート,マチャプチャレ,ヨハネスブルグ,鹿,
,サイヤダンサー,ベーカバド,イズミバード,サンデーサイレンス,鹿,
,スーパーホープ,キズナ,ケンホープ,Kendargent,黒鹿,
,マイトレジャーフジ,ロードカナロア,ホクラニミサ,ディープインパクト,鹿,
,ロングファイナリー,トーセンジョーダン,コスモハート,マイネルラヴ,鹿,
,ダンツイノーバ,メイショウボーラー,サイレントイヴ,アグネスタキオン,栗,
,アルトシュタット,ロードカナロア,マルティンスターク,シンボリクリスエス,鹿,
,タマモダイジョッキ,ヘニーヒューズ,チャームポット,フジキセキ,栗,
,デュガ,Practical Joke,Untraveled,Canadian Frontier,鹿,
,テーオーディエス,ラブリーデイ,ティノ,キンシャサノキセキ,鹿,
,リヴェール,オルフェーヴル,リトルゲルダ,Closing Argument,芦,
,ヤマニンルリュール,ヴィクトワールピサ,ヤマニンプチフール,フレンチデピュティ,鹿,
,コパノスタンリー,コパノリッキー,ソフィアルージュ,クロフネ,芦,
,モイル,キンシャサノキセキ,ウルティマミューズ,キングカメハメハ,鹿,
,リボンピーチ,インカンテーション,ワイルドローズ,メイショウオウドウ,鹿,
,ウインドアカネール,ビーチパトロール,ヤマトサクラコ,ディープインパクト,黒鹿,
,フェアリーハイ,シャンハイボビー,ハイリマイリ,アドマイヤムーン,青鹿,
,ヴォードヴィル,ルーラーシップ,ストームイメージ,ダンスインザダーク,黒鹿,
,グッドハビッツ,ダノンバラード,マイネジェシカ,ロージズインメイ,黒鹿,
,ツーエムルーイー,バゴ,キャットガール,マンハッタンカフェ,黒鹿,
,アルフェニン,ラニ,ラバニーユ,クロフネ,芦,
,フルーツサンド,ベストウォーリア,クレバーパルマ,ブライアンズタイム,栗,
,スマートアイ,ヘニーヒューズ,スマートオーシャン,Mr. Greeley,栗,
,マコトエトルリア,スピルバーグ,マコトクラダリング,シンボリクリスエス,栗,
,ヒラリーステップ,ホッコータルマエ,サラファン,アグネスタキオン,鹿,
,ミズカガミ,ノヴェリスト,マジカルミステリー,マンハッタンカフェ,青鹿,
,テイエムシニスター,シニスターミニスター,ケージーレインボー,ダンスインザダーク,栗,
,シャンバラ,ワンアンドオンリー,アンシャンタン,Unbridled's Song,黒鹿,
,ビートエモーション,Quality Road,J. Quirk,Unbridled's Song,芦,
,クラップサンダー,ジャスタウェイ,ゲッコウ,キングカメハメハ,鹿,
,セイハロートゥユーB,キングカメハメハ,マンハッタンセレブ,サンデーサイレンス,黒鹿,
,レッドファーロ,ハーツクライ,プラヤデシエルタ,Orpen,鹿,
,ホウオウヴォーヌ,オルフェーヴル,ヴンダーゾンネ,グラスワンダー,栗,
,ヒノシタカイザン,Galileo,Prudente,Dansili,鹿,
